D;G;C;SC;P;CCIF;GLOSA
09;1;5;01;02;09.1.5.01.02;SERVICIO DE REPARACIÓN DE EQUIPOS DE SONIDO Y VIDEO
09;1;5;01;03;09.1.5.01.03;SERVICIO DE REPARACIÓN DE MÁQUINAS FOTOGRÁFICAS
09;1;5;01;04;09.1.5.01.04;SERVICIO DE REPARACIÓN DE TELEVISORES
09;1;5;01;05;09.1.5.01.05;SERVICIO DE REPARACIÓN EQUIPOS COMPUTACIONALES
09;2;0;00;00;09.2.0.00.00;OTROS BIENES DURABLES PARA EL OCIO Y LA CULTURA
09;2;1;00;00;09.2.1.00.00;OTROS BIENES DURABLES PARA EL OCIO Y LA CULTURA AL AIRE LIBRE
09;2;1;01;00;09.2.1.01.00;GRANDES EQUIPOS RELACIONADOS CON LOS DEPORTES Y EL OCIO AL AIRE LIBRE
09;2;1;01;01;09.2.1.01.01;GRANDES EQUIPOS RELACIONADOS CON LOS DEPORTES Y EL OCIO AL AIRE LIBRE
09;2;2;00;00;09.2.2.00.00;INSTRUMENTOS MUSICALES Y EQUIPOS DURADEROS IMPORTANTES PARA RECREACIÓN EN INTERIORES
09;2;2;01;00;09.2.2.01.00;INSTRUMENTOS MUSICALES Y EQUIPOS PARA RECREACIÓN
09;2;2;01;01;09.2.2.01.01;INSTRUMENTOS MUSICALES DE CUERDA
09;2;2;01;02;09.2.2.01.02;INSTRUMENTOS MUSICALES DE VIENTO
09;2;2;01;03;09.2.2.01.03;INSTRUMENTOS MUSICALES DE PERCUSIÓN
09;2;2;01;04;09.2.2.01.04;INSTRUMENTOS MUSICALES DE TECLADO
09;2;2;01;05;09.2.2.01.05;OTROS INSTRUMENTOS MUSICALES Y SUS ACCESORIOS N.C.P.
09;2;2;01;06;09.2.2.01.06;MESAS DE JUEGO Y SUS ACCESORIOS
09;2;2;01;07;09.2.2.01.07;OTROS ARTEFACTOS Y MÁQUINAS PARA LA RECREACIÓN EN INTERIORES N.C.P.
09;2;3;00;00;09.2.3.00.00;CONSERVACIÓN Y REPARACIÓN DE OTROS BIENES DURADEROS IMPORTANTES PARA LA RECREACIÓN Y CULTURA
